customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score
CS1359,20,16,1145,4,2,3,423
CS1360,42,18,1282,3,3,3,333
CS1361,17,19,1470,5,3,4,534
CS1362,6,23,1703,5,4,5,545
CS1363,201,24,1632,1,5,5,155
CS1364,66,27,1864,3,5,5,355
CS1365,17,19,1225,5,3,3,533
CS1366,27,22,1493,4,4,4,444
CS1367,67,29,2146,3,5,5,355
CS1368,4,15,960,5,2,2,522
CS1369,46,25,1746,3,5,5,355
CS1370,141,26,1864,1,5,5,155
CS1371,159,22,1496,1,4,4,144
CS1372,278,19,1412,1,3,4,134
CS1373,85,30,1967,2,5,5,255
CS1374,164,19,1357,1,3,4,134
CS1375,127,17,1165,2,2,3,223
CS1376,34,25,1512,4,5,4,454
CS1377,143,18,1505,1,3,4,134
CS1378,25,25,1671,4,5,5,455
CS1379,136,15,1134,1,2,3,123
CS1380,16,26,1857,5,5,5,555
CS1381,389,22,1449,1,4,4,144
CS1382,4,25,1845,5,5,5,555
CS1383,115,25,1878,2,5,5,255
CS1384,12,17,964,5,2,2,522
CS1385,5,22,1478,5,4,4,544
CS1386,71,14,998,3,1,2,312
CS1387,127,18,1238,2,3,3,233
CS1388,30,19,1275,4,3,3,433
CS1389,19,18,1189,4,3,3,433
CS1390,44,19,1210,3,3,3,333
CS1391,4,25,1584,5,5,4,554
CS1392,74,17,1227,2,2,3,223
CS1393,99,19,1437,2,3,4,234
CS1394,5,28,2046,5,5,5,555
CS1395,14,22,1704,5,4,5,545
CS1396,31,25,1852,4,5,5,455
CS1397,166,30,2156,1,5,5,155
CS1398,29,20,1354,4,3,4,434
CS1399,23,26,1832,4,5,5,455
CS1400,76,18,1193,2,3,3,233
CS1401,14,30,2023,5,5,5,555
CS1402,30,22,1660,4,4,5,445
CS1403,43,22,1652,3,4,5,345
CS1404,50,28,1900,3,5,5,355
CS1405,19,26,1943,4,5,5,455
CS1406,14,27,1842,5,5,5,555
CS1407,13,28,1916,5,5,5,555
CS1408,241,17,1214,1,2,3,123
CS1409,86,24,1464,2,5,4,254
CS1410,59,15,1160,3,2,3,323
CS1411,56,17,1222,3,2,3,323
CS1412,15,22,1599,5,4,5,545
CS1413,59,19,1396,3,3,4,334
CS1414,153,20,1437,1,3,4,134
CS1415,74,27,1752,2,5,5,255
CS1416,12,20,1513,5,3,4,534
CS1417,50,15,1076,3,2,2,322
CS1418,150,14,1053,1,1,2,112
CS1419,0,27,1915,5,5,5,555
CS1420,81,25,1923,2,5,5,255
CS1421,59,27,1896,3,5,5,355
CS1422,5,15,1211,5,2,3,523
CS1423,55,20,1182,3,3,3,333
CS1424,10,24,1753,5,5,5,555
CS1425,71,23,1688,3,4,5,345
CS1426,21,21,1538,4,4,4,444
CS1427,7,15,985,5,2,2,522
CS1428,85,25,1948,2,5,5,255
CS1429,132,18,1261,1,3,3,133
CS1430,13,21,1440,5,4,4,544
CS1431,12,18,1257,5,3,3,533
CS1432,3,19,1362,5,3,4,534
CS1433,39,20,1468,4,3,4,434
CS1434,11,27,1758,5,5,5,555
CS1435,46,25,1700,3,5,5,355
CS1436,59,14,977,3,1,2,312
CS1437,28,12,880,4,1,2,412
CS1438,36,20,1374,4,3,4,434
CS1439,34,16,1160,4,2,3,423
CS1440,101,22,1577,2,4,4,244
CS1441,68,20,1351,3,3,4,334
CS1442,8,20,1225,5,3,3,533
CS1443,53,24,1876,3,5,5,355
CS1444,35,23,1756,4,4,5,445
CS1445,2,23,1526,5,4,4,544
CS1446,13,15,991,5,2,2,522
CS1447,5,14,1001,5,1,2,512
CS1448,39,16,1239,4,2,3,423
CS1449,2,20,1402,5,3,4,534
CS1450,24,20,1251,4,3,3,433
CS1451,20,22,1715,4,4,5,445
CS1452,108,15,941,2,2,2,222
CS1453,132,22,1640,1,4,5,145
CS1454,20,17,1126,4,2,3,423
CS1455,2,18,1301,5,3,3,533
CS1456,204,20,1363,1,3,4,134
CS1457,91,15,929,2,2,2,222
CS1458,5,20,1422,5,3,4,534
CS1459,124,24,1627,2,5,5,255
CS1460,41,18,1185,3,3,3,333
CS1461,27,23,1567,4,4,4,444
CS1462,48,24,1616,3,5,5,355
CS1463,128,27,1807,2,5,5,255
CS1464,236,21,1613,1,4,5,145
CS1465,2,22,1631,5,4,5,545
CS1466,22,17,1190,4,2,3,423
CS1467,218,18,1233,1,3,3,133
CS1468,9,21,1412,5,4,4,544
CS1469,9,19,1387,5,3,4,534
CS1470,52,22,1649,3,4,5,345
CS1471,4,20,1325,5,3,3,533
CS1472,8,19,1241,5,3,3,533
CS1473,3,25,1695,5,5,5,555
CS1474,89,21,1487,2,4,4,244
CS1475,55,18,1197,3,3,3,333
CS1476,77,20,1430,2,3,4,234
CS1477,13,18,1185,5,3,3,533
CS1478,90,19,1300,2,3,3,233
CS1479,57,20,1567,3,3,4,334
CS1480,82,17,1251,2,2,3,223
CS1481,448,13,876,1,1,2,112
CS1482,36,12,732,4,1,2,412
CS1483,74,24,1774,2,5,5,255
CS1484,99,16,1221,2,2,3,223
CS1485,22,25,1814,4,5,5,455
CS1486,48,19,1377,3,3,4,334
CS1487,28,10,599,4,1,1,411
CS1488,13,23,1595,5,4,5,545
CS1489,33,15,950,4,2,2,422
CS1490,23,25,1788,4,5,5,455
CS1491,87,17,1244,2,2,3,223
CS1492,37,19,1358,4,3,4,434
CS1493,5,21,1531,5,4,4,544
CS1494,118,21,1502,2,4,4,244
CS1495,18,17,1138,4,2,3,423
CS1496,23,18,1222,4,3,3,433
CS1497,7,20,1445,5,3,4,534
CS1498,56,22,1519,3,4,4,344
CS1499,45,26,1879,3,5,5,355
CS1500,164,15,983,1,2,2,122
CS1501,35,26,1965,4,5,5,455
CS1502,5,22,1613,5,4,5,545
CS1503,1,27,1927,5,5,5,555
CS1504,44,13,825,3,1,2,312
CS1505,52,25,1703,3,5,5,355
CS1506,76,18,1307,2,3,3,233
CS1507,19,21,1280,4,4,3,443
CS1508,14,28,1933,5,5,5,555
CS1509,146,20,1383,1,3,4,134
CS1510,3,26,1792,5,5,5,555
CS1511,50,18,1253,3,3,3,333
CS1512,23,20,1239,4,3,3,433
CS1513,106,22,1444,2,4,4,244
CS1514,161,16,1046,1,2,2,122
CS1515,14,22,1742,5,4,5,545
CS1516,101,18,1308,2,3,3,233
CS1517,85,18,1168,2,3,3,233
CS1518,124,19,1151,2,3,3,233
CS1519,11,15,962,5,2,2,522
CS1520,3,18,1162,5,3,3,533
CS1521,194,9,671,1,1,1,111
CS1522,96,14,894,2,1,2,212
CS1523,215,15,928,1,2,2,122
CS1524,130,17,1075,1,2,2,122
CS1525,27,17,1215,4,2,3,423
CS1526,31,19,1324,4,3,3,433
CS1527,13,19,1187,5,3,3,533
CS1528,3,24,1660,5,5,5,555
CS1529,9,25,1823,5,5,5,555
CS1530,251,10,626,1,1,1,111
CS1531,35,25,1793,4,5,5,455
CS1532,283,17,1140,1,2,3,123
CS1533,43,23,1606,3,4,5,345
CS1534,68,20,1379,3,3,4,334
CS1535,83,24,1904,2,5,5,255
CS1536,35,12,753,4,1,2,412
CS1537,5,20,1323,5,3,3,533
CS1538,2,19,1304,5,3,3,533
CS1539,25,20,1371,4,3,4,434
CS1540,38,19,1199,4,3,3,433
CS1541,141,30,2273,1,5,5,155
CS1542,170,27,1808,1,5,5,155
CS1543,1,12,948,5,1,2,512
CS1544,53,19,1334,3,3,3,333
CS1545,21,28,1935,4,5,5,455
CS1546,199,18,1436,1,3,4,134
CS1547,25,22,1600,4,4,5,445
CS1548,17,23,1755,5,4,5,545
CS1549,25,20,1393,4,3,4,434
CS1550,50,22,1583,3,4,4,344
CS1551,101,18,1300,2,3,3,233
CS1552,30,22,1604,4,4,5,445
CS1553,187,20,1444,1,3,4,134
CS1554,141,17,993,1,2,2,122
CS1555,62,23,1571,3,4,4,344
CS1556,22,13,1031,4,1,2,412
CS1557,41,30,1992,3,5,5,355
CS1558,19,23,1500,4,4,4,444
CS1559,6,20,1613,5,3,5,535
CS1560,49,18,1352,3,3,4,334
CS1561,1,15,1082,5,2,2,522
CS1562,378,12,711,1,1,2,112
CS1563,404,17,1108,1,2,3,123
CS1564,18,16,1304,4,2,3,423
CS1565,120,17,1147,2,2,3,223
CS1566,190,21,1491,1,4,4,144
CS1567,21,19,1465,4,3,4,434
CS1568,33,20,1604,4,3,5,435
CS1569,25,15,1074,4,2,2,422
CS1570,102,25,1782,2,5,5,255
CS1571,31,20,1503,4,3,4,434
CS1572,34,15,1085,4,2,2,422
CS1573,43,19,1539,3,3,4,334
CS1574,7,18,1018,5,3,2,532
CS1575,46,26,1611,3,5,5,355
CS1576,93,16,1074,2,2,2,222
CS1577,19,21,1525,4,4,4,444
CS1578,88,16,1125,2,2,3,223
CS1579,26,20,1433,4,3,4,434
CS1580,190,33,2329,1,5,5,155
CS1581,37,23,1501,4,4,4,444
CS1582,18,27,2009,4,5,5,455
CS1583,29,25,1919,4,5,5,455
CS1584,14,21,1512,5,4,4,544
CS1585,93,19,1167,2,3,3,233
CS1586,73,20,1441,2,3,4,234
CS1587,37,27,1900,4,5,5,455
CS1588,9,25,1591,5,5,5,555
CS1589,15,15,1151,5,2,3,523
CS1590,154,16,964,1,2,2,122
CS1591,154,18,1144,1,3,3,133
CS1592,34,19,1215,4,3,3,433
CS1593,24,20,1406,4,3,4,434
CS1594,23,13,901,4,1,2,412
CS1595,106,10,648,2,1,1,211
CS1596,18,19,1342,4,3,3,433
CS1597,66,23,1611,3,4,5,345
CS1598,39,20,1289,4,3,3,433
CS1599,57,15,1028,3,2,2,322
CS1600,19,20,1331,4,3,3,433
CS1601,79,27,1787,2,5,5,255
CS1602,26,20,1401,4,3,4,434
CS1603,125,19,1374,2,3,4,234
CS1604,15,28,1950,5,5,5,555
CS1605,16,27,1685,5,5,5,555
CS1606,2,13,781,5,1,2,512
CS1607,61,19,1384,3,3,4,334
CS1608,49,14,973,3,1,2,312
CS1609,137,20,1375,1,3,4,134
CS1610,32,19,1326,4,3,3,433
CS1611,258,23,1794,1,4,5,145
CS1612,19,26,1759,4,5,5,455
CS1613,127,21,1347,2,4,4,244
CS1614,10,22,1568,5,4,4,544
CS1615,3,20,1419,5,3,4,534
CS1616,10,19,1434,5,3,4,534
CS1617,104,27,1784,2,5,5,255
CS1618,175,13,887,1,1,2,112
CS1619,11,21,1323,5,4,3,543
CS1620,300,16,1320,1,2,3,123
CS1621,21,26,1894,4,5,5,455
CS1622,0,20,1360,5,3,4,534
CS1623,16,26,1777,5,5,5,555
CS1624,39,25,1832,4,5,5,455
CS1625,5,14,950,5,1,2,512
CS1626,61,17,1172,3,2,3,323
CS1627,77,16,1043,2,2,2,222
CS1628,21,21,1456,4,4,4,444
CS1629,3,22,1394,5,4,4,544
CS1630,1,20,1393,5,3,4,534
CS1631,41,18,1223,3,3,3,333
CS1632,8,17,1187,5,2,3,523
CS1633,18,26,1763,4,5,5,455
CS1634,14,15,1044,5,2,2,522
CS1635,96,23,1573,2,4,4,244
CS1636,68,19,1347,3,3,4,334
CS1637,22,22,1496,4,4,4,444
CS1638,230,15,1035,1,2,2,122
CS1639,12,23,1619,5,4,5,545
CS1640,60,19,1232,3,3,3,333
CS1641,8,17,1232,5,2,3,523
CS1642,34,24,1672,4,5,5,455
CS1643,22,27,2087,4,5,5,455
CS1644,75,22,1542,2,4,4,244
CS1645,243,19,1412,1,3,4,134
CS1646,27,17,1185,4,2,3,423
CS1647,16,21,1401,5,4,4,544
CS1648,116,24,1776,2,5,5,255
CS1649,48,16,1197,3,2,3,323
CS1650,113,24,1832,2,5,5,255
CS1651,104,13,927,2,1,2,212
CS1652,1,26,1726,5,5,5,555
CS1653,117,26,1986,2,5,5,255
CS1654,90,19,1384,2,3,4,234
CS1655,28,14,955,4,1,2,412
CS1656,51,14,966,3,1,2,312
CS1657,125,18,1105,2,3,3,233
CS1658,29,20,1389,4,3,4,434
CS1659,43,19,1311,3,3,3,333
CS1660,20,24,1745,4,5,5,455
CS1661,27,32,2051,4,5,5,455
CS1662,22,17,1033,4,2,2,422
CS1663,96,23,1487,2,4,4,244
CS1664,13,25,1954,5,5,5,555
CS1665,155,16,1033,1,2,2,122
CS1666,50,18,1385,3,3,4,334
CS1667,73,20,1313,2,3,3,233
CS1668,49,17,1227,3,2,3,323
CS1669,15,15,1105,5,2,3,523
CS1670,81,16,1191,2,2,3,223
CS1671,84,17,1246,2,2,3,223
CS1672,131,15,1110,1,2,3,123
CS1673,54,26,1784,3,5,5,355
CS1674,54,17,1088,3,2,2,322
CS1675,38,28,2124,4,5,5,455
CS1676,66,28,2088,3,5,5,355
CS1677,64,21,1439,3,4,4,344
CS1678,75,18,1230,2,3,3,233
CS1679,7,28,1976,5,5,5,555
CS1680,48,18,1151,3,3,3,333
CS1681,113,21,1467,2,4,4,244
CS1682,126,15,1075,2,2,2,222
CS1683,14,17,1245,5,2,3,523
CS1684,68,18,1241,3,3,3,333
CS1685,215,22,1569,1,4,4,144
CS1686,67,24,1647,3,5,5,355
CS1687,24,22,1656,4,4,5,445
CS1688,131,17,1167,1,2,3,123
CS1689,74,16,993,2,2,2,222
CS1690,23,19,1354,4,3,4,434
CS1691,73,20,1523,2,3,4,234
CS1692,1,23,1592,5,4,5,545
CS1693,15,12,908,5,1,2,512
CS1694,65,22,1330,3,4,3,343
CS1695,93,32,2174,2,5,5,255
CS1696,129,19,1325,1,3,3,133
CS1697,107,15,1082,2,2,2,222
CS1698,5,19,1397,5,3,4,534
CS1699,16,18,1261,5,3,3,533
CS1700,247,17,1186,1,2,3,123
CS1701,178,18,1190,1,3,3,133
CS1702,26,17,1028,4,2,2,422
CS1703,69,15,890,3,2,2,322
CS1704,18,22,1484,4,4,4,444
CS1705,78,21,1553,2,4,4,244
CS1706,30,23,1681,4,4,5,445
CS1707,41,22,1627,3,4,5,345
CS1708,40,25,1790,3,5,5,355
CS1709,159,23,1629,1,4,5,145
CS1710,265,22,1577,1,4,4,144
CS1711,85,23,1548,2,4,4,244
CS1712,120,21,1411,2,4,4,244
CS1713,9,19,1495,5,3,4,534
CS1714,0,16,1248,5,2,3,523
CS1715,47,20,1314,3,3,3,333
CS1716,352,6,440,1,1,1,111
CS1717,49,14,963,3,1,2,312
CS1718,77,18,1284,2,3,3,233
CS1719,35,17,1166,4,2,3,423
CS1720,0,17,1104,5,2,3,523
CS1721,20,24,1687,4,5,5,455
CS1722,14,19,1320,5,3,3,533
CS1723,35,17,1146,4,2,3,423
CS1724,29,18,1223,4,3,3,433
CS1725,59,27,1778,3,5,5,355
CS1726,27,23,1529,4,4,4,444
CS1727,11,25,1702,5,5,5,555
CS1728,106,26,1896,2,5,5,255
CS1729,13,24,1567,5,5,4,554
CS1730,131,19,1260,1,3,3,133
CS1731,14,17,1145,5,2,3,523
CS1732,25,18,1353,4,3,4,434
CS1733,130,20,1506,1,3,4,134
CS1734,190,18,1235,1,3,3,133
CS1735,13,14,952,5,1,2,512
CS1736,83,24,1653,2,5,5,255
CS1737,90,23,1737,2,4,5,245
CS1738,35,20,1337,4,3,3,433
CS1739,48,17,1199,3,2,3,323
CS1740,39,25,1902,4,5,5,455
CS1741,147,19,1264,1,3,3,133
CS1742,70,19,1326,3,3,3,333
CS1743,168,17,1405,1,2,4,124
CS1744,13,14,1066,5,1,2,512
CS1745,24,22,1615,4,4,5,445
CS1746,274,26,1878,1,5,5,155
CS1747,4,17,1099,5,2,3,523
CS1748,2,22,1498,5,4,4,544
CS1749,17,17,1174,5,2,3,523
CS1750,12,22,1543,5,4,4,544
CS1751,49,23,1504,3,4,4,344
CS1752,17,22,1656,5,4,5,545
CS1753,86,18,1180,2,3,3,233
CS1754,78,17,1177,2,2,3,223
CS1755,86,17,1164,2,2,3,223
CS1756,235,18,1176,1,3,3,133
CS1757,80,31,2238,2,5,5,255
CS1758,65,20,1337,3,3,3,333
CS1759,107,24,1654,2,5,5,255
CS1760,62,21,1570,3,4,4,344
CS1761,1,16,1144,5,2,3,523
CS1762,92,14,1027,2,1,2,212
CS1763,28,24,1689,4,5,5,455
CS1764,35,15,1085,4,2,2,422
CS1765,84,14,1079,2,1,2,212
CS1766,120,19,1067,2,3,2,232
CS1767,32,26,1674,4,5,5,455
CS1768,95,25,1794,2,5,5,255
CS1769,180,20,1356,1,3,4,134
CS1770,6,25,1734,5,5,5,555
CS1771,12,19,1337,5,3,3,533
CS1772,53,18,1348,3,3,4,334
CS1773,86,22,1442,2,4,4,244
CS1774,4,25,1756,5,5,5,555
CS1775,53,13,848,3,1,2,312
CS1776,58,25,1782,3,5,5,355
CS1777,79,14,1044,2,1,2,212
CS1778,31,19,1368,4,3,4,434
CS1779,14,16,1086,5,2,2,522
CS1780,9,19,1265,5,3,3,533
CS1781,189,29,2131,1,5,5,155
CS1782,76,17,1174,2,2,3,223
CS1783,98,17,1210,2,2,3,223
CS1784,119,15,993,2,2,2,222
CS1785,18,29,2103,4,5,5,455
CS1786,35,31,2218,4,5,5,455
CS1787,11,22,1443,5,4,4,544
CS1788,154,24,1548,1,5,4,154
CS1789,15,16,1192,5,2,3,523
CS1790,180,18,1241,1,3,3,133
CS1791,0,21,1607,5,4,5,545
CS1792,72,17,1179,3,2,3,323
CS1793,16,17,1035,5,2,2,522
CS1794,0,24,1764,5,5,5,555
CS1795,130,17,1331,1,2,3,123
CS1796,44,20,1462,3,3,4,334
CS1797,50,23,1393,3,4,4,344
CS1798,99,27,1826,2,5,5,255
CS1799,41,14,966,3,1,2,312
CS1800,2,16,1053,5,2,2,522
CS1801,112,15,994,2,2,2,222
CS1802,10,27,1913,5,5,5,555
CS1803,127,21,1562,2,4,4,244
CS1804,39,19,1247,4,3,3,433
CS1805,24,31,2076,4,5,5,455
CS1806,45,15,1025,3,2,2,322
CS1807,51,26,1732,3,5,5,355
CS1808,90,14,851,2,1,2,212
CS1809,28,21,1500,4,4,4,444
CS1810,42,16,1165,3,2,3,323
